Wavelength,norm_Intensity
200,1
201,0.947802198
202,0.997252747
203,0.923076923
204,0.936813187
205,0.848901099
206,0.89010989
207,0.85989011
208,0.892857143
209,0.884615385
210,0.862637363
211,0.804945055
212,0.791208791
213,0.760989011
214,0.769230769
215,0.763736264
216,0.769230769
217,0.71978022
218,0.700549451
219,0.692307692
220,0.68956044
221,0.686813187
222,0.675824176
223,0.629120879
224,0.626373626
225,0.612912088
226,0.612637363
227,0.634615385
228,0.598901099
229,0.582417582
230,0.586538462
231,0.564010989
232,0.552197802
233,0.542032967
234,0.525274725
235,0.54010989
236,0.509065934
237,0.487912088
238,0.508241758
239,0.485989011
240,0.490384615
241,0.445054945
242,0.461813187
243,0.451648352
244,0.424725275
245,0.426373626
246,0.402197802
247,0.399450549
248,0.407417582
249,0.393956044
250,0.376098901
251,0.38543956
252,0.381868132
253,0.36978022
254,0.352197802
255,0.348351648
256,0.337637363
257,0.338461538
258,0.335714286
259,0.327747253
260,0.317582418
261,0.309340659
262,0.306593407
263,0.312087912
264,0.303021978
265,0.295054945
266,0.290659341
267,0.287087912
268,0.274175824
269,0.268681319
270,0.267582418
271,0.261813187
272,0.262912088
273,0.25989011
274,0.256593407
275,0.253021978
276,0.246153846
277,0.246978022
278,0.243406593
279,0.238736264
280,0.242857143
281,0.229945055
282,0.233791209
283,0.227472527
284,0.234340659
285,0.217857143
286,0.222802198
287,0.215934066
288,0.21456044
289,0.216758242
290,0.211813187
291,0.208241758
292,0.208516484
293,0.203021978
294,0.201648352
295,0.197802198
296,0.196703297
297,0.195879121
298,0.19010989
299,0.18489011
300,0.188461538
301,0.185989011
302,0.181043956
303,0.184065934
304,0.180769231
305,0.175
306,0.175
307,0.16978022
308,0.169230769
309,0.168406593
310,0.166483516
311,0.16510989
312,0.163461538
313,0.161263736
314,0.15467033
315,0.157692308
316,0.157417582
317,0.151373626
318,0.15467033
319,0.152472527
320,0.150549451
321,0.147527473
322,0.143131868
323,0.141208791
324,0.142582418
325,0.142032967
326,0.141758242
327,0.136813187
328,0.135714286
329,0.132142857
330,0.132692308
331,0.134340659
332,0.127747253
333,0.129120879
334,0.125549451
335,0.123351648
336,0.121703297
337,0.120879121
338,0.119505495
339,0.118681319
340,0.117582418
341,0.117857143
342,0.114835165
343,0.11456044
344,0.114010989
345,0.111813187
346,0.109615385
347,0.108791209
348,0.107967033
349,0.106043956
350,0.104395604
351,0.104945055
352,0.103296703
353,0.098351648
354,0.102747253
355,0.096978022
356,0.097802198
357,0.095879121
358,0.096428571
359,0.09478022
360,0.091758242
361,0.093406593
362,0.092032967
363,0.093956044
364,0.091208791
365,0.090659341
366,0.089835165
367,0.091758242
368,0.087637363
369,0.086813187
370,0.08489011
371,0.083791209
372,0.081043956
373,0.082692308
374,0.082417582
375,0.084065934
376,0.082967033
377,0.079395604
378,0.082417582
379,0.083241758
380,0.084615385
381,0.081318681
382,0.079120879
383,0.07967033
384,0.078571429
385,0.075549451
386,0.076373626
387,0.073901099
388,0.075
389,0.074450549
390,0.073626374
391,0.073351648
392,0.076098901
393,0.078571429
394,0.072252747
395,0.072802198
396,0.072802198
397,0.073351648
398,0.075549451
399,0.075274725
400,0.072802198
